filename,object_name,plate,mjd,fiberid,z,J0410_mag,J0410_err,J0430_mag,J0430_err,iSDSS_mag,iSDSS_err,J0660_mag,J0660_err,rSDSS_mag,rSDSS_err,J0515_mag,J0515_err,zSDSS_mag,zSDSS_err,J0378_mag,J0378_err,gSDSS_mag,gSDSS_err,J0395_mag,J0395_err,uJAVA_mag,uJAVA_err,J0861_mag,J0861_err
spec-2822-54389-0397.fits,2822-54379-01,2822,54389,397,,19.518207286075317,0.0048051736266546815,19.465578221981495,0.004237952679134228,19.716187895351048,0.0035176455389393855,19.73112802015121,0.00554554099818002,19.633491160783272,0.002114768235443015,19.54067463271516,0.0042155708082929864,19.5940049188548,0.00956441313128351,19.612329382601864,0.016296287857821785,19.517329630457077,0.0016132972022515973,19.52698458947524,0.007538949266965837,19.75775472397033,0.01470532322059269,19.64817251213031,0.012249171918972849
spec-2630-54327-0359.fits,2630-54327-01,2630,54327,359,,18.54929744365983,0.00317239942364317,18.50745451961543,0.002800645690041178,18.91293213309894,0.0018908984228667833,18.919139347762673,0.0035258694847547607,18.677686156377327,0.0011564467952068715,18.463431640104496,0.0024819473887623886,19.013851561279218,0.005614129747550238,18.830022783387868,0.012482117042018926,18.483705873182764,0.000988701537738082,18.72573488624939,0.0055829291598606555,18.953852370516508,0.010902671531629961,19.08200454353146,0.007229877082340436
spec-2822-54389-0400.fits,2822-54379-01,2822,54389,400,,20.198482488721616,,20.17925313354069,,20.408799454094968,,20.55596230585288,,20.347765567334484,,20.218069869843568,,20.18936400265067,,20.40211595896367,,20.191085026303732,,20.338751452947555,,20.548882836115162,,20.215424761482772,
spec-2824-54452-0432.fits,2824-54414-01,2824,54452,432,,19.950900641175828,0.0075002625361639,19.90173193229392,0.006402523833431701,20.28989892713917,0.004985981479294323,20.31230077773781,0.009260754680951198,19.98553858068805,0.0027943122642420026,19.740396945429048,0.005038889846193716,20.553898053488204,0.017058262345987823,20.187292218726093,0.029270117314749662,19.801068091702255,0.0021290583190298647,20.134087828705184,0.013160370415679766,20.324257732884853,0.027470458367324438,20.563415096884803,0.021078070156002927
spec-2630-54327-0342.fits,2630-54327-01,2630,54327,342,,19.81850051564512,0.007856233287840455,19.83917125802501,0.007026556129033401,20.289778760453892,0.005916176665703841,20.20790162178401,0.008949589550693277,20.126156645745162,0.003402150638389303,19.981175291817443,0.00693235102317652,20.10551714767687,0.014563064251783792,19.84142812293411,0.029755554665257377,19.909562031405322,0.0026379668839732902,19.774718827990036,0.012328413954706949,19.999101643721282,0.025355633397824522,20.23681279000639,0.019433165069860335
spec-2824-54452-0207.fits,2824-54414-01,2824,54452,207,,20.037691451322907,,19.99642496533911,,20.30224899163853,,20.315918204904357,,20.04919797393267,,19.85231910948516,,20.376303287471963,,20.397760515990093,,19.912860977030213,,20.243890394689025,,20.533960482512704,,20.467083860035693,
spec-2824-54452-0426.fits,2824-54414-01,2824,54452,426,,18.999383084329658,0.004085546020982464,18.970777470541115,0.0035497817753954415,19.296339408651583,0.0023366024025407235,19.306208542651483,0.004313591254158231,19.09963468815551,0.0014512449399995606,18.929325444479055,0.003007787742934422,19.439175508353436,0.007240658736053241,19.136175457454435,0.014297884252755353,18.945578725071535,0.001234657229318469,19.062471905401317,0.006528153879273541,19.27885365216256,0.0136189571697474,19.491580873741462,0.009302744689972239
spec-0650-52143-0450.fits,0650-52142-01,650,52143,450,,19.0761322143074,,19.062467304907166,,19.08793703097414,,19.042445218458376,,19.032686881216996,,19.065190103742275,,19.134898827300184,,19.182304798131405,,19.039505718386728,,19.083502962740162,,19.329445070639345,,19.208409920293143,
spec-1091-52902-0117.fits,1091-52901-02,1091,52902,117,,20.116000965006513,,20.099419726448083,,19.94716573066686,,20.046020696046718,,19.92832842142665,,19.97528374818723,,19.914472667531818,,20.33827843572768,,19.997989548254132,,20.232758404488486,,20.512328246990144,,19.99842063411497,
spec-0685-52203-0225.fits,0685-52202-02,685,52203,225,,19.111011851384568,0.00874213476908237,19.005148867640408,0.006950059863005819,19.136535164210464,0.0038448281590394997,19.17049618338688,0.00752731173339723,18.916015394703543,0.002503975229804285,18.74899016073163,0.005100907220647355,19.259784290430225,0.011243044390205759,19.526638613808068,0.03674168411810292,18.84983278850124,0.0022261895461354077,19.380246530063893,0.01696882333683159,19.632775930806254,0.03364754404708956,19.32397830748804,0.01515485600827888
