SDSS,Plate,MJD,Fiber,RA,Dec,umag,gmag,rmag,imag,zmag,Teff,logg,Mass,Type,spec_file,filename,object_name,plate,mjd,fiberid,z,J0410_mag,J0410_err,J0430_mag,J0430_err,iSDSS_mag,iSDSS_err,J0660_mag,J0660_err,rSDSS_mag,rSDSS_err,J0515_mag,J0515_err,zSDSS_mag,zSDSS_err,J0378_mag,J0378_err,gSDSS_mag,gSDSS_err,J0395_mag,J0395_err,uJAVA_mag,uJAVA_err,J0861_mag,J0861_err,match_separation_arcsec,gaia_WDJ_name,gaia_source_id,gaia_ra,gaia_dec,gaia_parallax,gaia_phot_g_mean_mag,gaia_phot_bp_mean_mag,gaia_phot_rp_mean_mag,gaia_umag,gaia_gmag,gaia_rmag,gaia_imag,gaia_zmag,gaia_teff_H,gaia_logg_H,gaia_mass_H,gaia_Pwd
000006.75-004654.0,685,52203,225,0.02813854,-0.78166078,19.17,18.83,18.87,19.04,19.39,10772.0,8.37,0.824,DA,results_convolution_2/spectra/spec-0685-52203-0225.fits,spec-0685-52203-0225.fits,0685-52202-02,685.0,52203.0,225.0,,19.111011851384568,0.0087421347690823,19.005148867640408,0.0069500598630058,19.136535164210464,0.0038448281590394,19.17049618338688,0.0075273117333972,18.916015394703543,0.0025039752298042,18.74899016073163,0.0051009072206473,19.259784290430225,0.0112430443902057,19.526638613808068,0.0367416841181029,18.84983278850124,0.0022261895461354,19.380246530063893,0.0169688233368315,19.63277593080625,0.0336475440470895,19.32397830748804,0.0151548560082788,0.09590092807447767,WDJ000006.76-004653.87 ,2449845669146456576,0.028157485089023267,-0.7816420504902988,4.316703058996499,18.827677,18.8423,18.826004,19.241,18.821,18.9,19.108,19.433,11924.81,8.168734,0.7082776,0.997035
000007.16-094339.8,650,52143,497,0.02982531,-9.7277342,19.41,19.58,19.99,20.27,21.15,29354.0,7.55,0.477,DA,results_convolution_2/spectra/spec-0650-52143-0497.fits,spec-0650-52143-0497.fits,0650-52142-01,650.0,52143.0,497.0,,19.274976640134945,0.0104171808124414,19.358317107491125,0.0093661210186197,20.590748413877883,0.0136196235736778,20.288969833353555,0.0168584788129772,20.07886917340965,0.0058808538354412,19.70446636911405,0.0101978236404751,20.73475471943241,0.0414872420492621,19.20251851729362,0.0379713888642445,19.51396372218006,0.0036959157039015,19.255478056203067,0.0176634516718903,19.34742783974591,0.0365676566060422,20.77964336676205,0.0522859680084852,0.7776699691183135,WDJ000007.17-094339.81 ,2422931587299822848,0.029900572185977754,-9.727937083513527,0.8661426799639328,19.755978,19.745062,19.97098,19.416,19.558,19.983,20.26,21.109,18893.32,7.03919,0.2889825,0.92712
000012.32-005042.6,1091,52902,117,0.05135344,-0.84515769,20.41,20.04,19.92,20.02,20.0,7994.0,8.33,0.794,DA,results_convolution_2/spectra/spec-1091-52902-0117.fits,spec-1091-52902-0117.fits,1091-52901-02,1091.0,52902.0,117.0,,20.116000965006517,,20.099419726448083,,19.94716573066686,,20.04602069604672,,19.92832842142665,,19.97528374818723,,19.914472667531815,,20.33827843572768,,19.99798954825413,,20.23275840448849,,20.512328246990144,,19.99842063411497,,0.11093828681659353,WDJ000012.32-005042.57 ,2449844432195860352,0.05134596017061885,-0.8451875848480472,3.637729746286757,19.921421,20.101175,19.674406,20.427,20.032,19.932,20.024,19.999,7768.454,7.720753,0.4531014,0.938022
000022.54-105142.2,650,52143,217,0.09389713,-10.861716,19.29,18.91,18.82,18.89,18.95,8598.0,8.32,0.789,DA,results_convolution_2/spectra/spec-0650-52143-0217.fits,spec-0650-52143-0217.fits,0650-52142-01,650.0,52143.0,217.0,,18.83338177546681,,18.830057687960327,,18.95597410342824,,18.9934153393147,,18.8346730035719,,18.7726762565922,,18.98898090494071,,18.86104332147125,,18.793515376225592,,18.940479791440275,,18.99736067286413,,19.025310439390843,,0.8860648446150022,WDJ000022.54-105142.20 ,2422606780396753024,0.09412168871296106,-10.861825286616348,6.44654054082227,18.773676,18.896,18.583645,19.292,18.9,18.83,18.882,18.973,8507.403,8.048754,0.6254327,0.990418
000022.88-000635.7,387,51791,166,0.09531514,-0.10991285,18.24,18.21,18.52,18.88,19.12,22222.0,7.39,0.415,DA,results_convolution_2/spectra/spec-0387-51791-0166.fits,spec-0387-51791-0166.fits,0387-51789-01,387.0,51791.0,166.0,,18.06583303898082,0.0044945476931995,18.105818673522585,0.0040201257152363,18.784429889624413,0.0034347132423594,18.72416465253489,0.0054213884265232,18.52182813891817,0.001941488290747,18.238130292875237,0.0037915437354135,18.874050884220587,0.0112772119175005,18.1738611604146,0.0143105194027261,18.167969667084076,0.0014822189498802,18.146306295949465,0.0075092807225595,18.320072827001617,0.0150713133401122,18.934788319769037,0.0144499453957971,0.3639910732189721,WDJ000022.88-000635.71 ,2449953455645886464,0.09540949718413243,-0.10987652218820626,2.136385069426956,18.396278,18.31776,18.600815,18.25,18.208,18.538,18.829,19.206,24045.25,7.660473,0.4678499,0.998186
000025.40+251726.4,2822,54389,400,0.105847,25.290666,20.2,20.17,20.52,20.69,21.04,21114.0,7.9,0.576,DA,results_convolution_2/spectra/spec-2822-54389-0400.fits,spec-2822-54389-0400.fits,2822-54379-01,2822.0,54389.0,400.0,,20.198482488721616,,20.17925313354069,,20.408799454094968,,20.55596230585288,,20.347765567334484,,20.218069869843568,,20.18936400265067,,20.40211595896367,,20.19108502630373,,20.338751452947555,,20.54888283611516,,20.21542476148277,,0.13064253215353877,WDJ000025.41+251726.46 ,2853088466258109312,0.10586114806403334,25.290632039741908,1.0600152081502585,20.319014,20.21377,20.387966,20.225,20.155,20.48,20.78,20.959,,,,0.969189
000033.14+292857.6,2824,54452,426,0.138102,29.482658,19.21,18.97,19.13,19.33,19.44,30583.0,8.29,,DA:DC:,results_convolution_2/spectra/spec-2824-54452-0426.fits,spec-2824-54452-0426.fits,2824-54414-01,2824.0,54452.0,426.0,,18.999383084329654,0.0040855460209824,18.970777470541115,0.0035497817753954,19.296339408651583,0.0023366024025407,19.306208542651483,0.0043135912541582,19.09963468815551,0.0014512449399995,18.92932544447905,0.0030077877429344,19.43917550835344,0.0072406587360532,19.136175457454435,0.0142978842527553,18.94557872507153,0.0012346572293184,19.06247190540132,0.0065281538792735,19.27885365216256,0.0136189571697474,19.491580873741466,0.0093027446899722,0.14422593216039578,WDJ000033.15+292857.51 ,2855249934319560448,0.13813648361417177,29.48263146822293,3.4567170542677035,19.008118,19.08389,19.000366,19.18,18.96,19.11,19.304,19.432,11038.46,7.789212,0.4877909,0.991782
000034.06-052922.4,2624,54380,261,0.141922,-5.489542,16.93,16.77,17.06,17.3,17.54,19505.0,7.79,0.522,DA,results_convolution_2/spectra/spec-2624-54380-0261.fits,spec-2624-54380-0261.fits,2624-54332-01,2624.0,54380.0,261.0,,16.752865340576086,0.0018415742555453,16.739017873623773,0.001662906117417,17.297543325226663,0.0008829315627637,17.26805162299197,0.0019327609048106,17.045884627024655,0.0006182075765732,16.819390726384974,0.0015602527182797,17.40615794496683,0.0024641169330058,16.943375922666327,0.0064397644269649,16.77338654826236,0.0006060035564094,16.871855885394886,0.0029820334939479,17.076351559210302,0.0055587233202756,17.473107050891635,0.0030812485768953,0.6541963141314237,WDJ000034.01-052922.25 ,2443115184812156416,0.14210113676135752,-5.489577018446784,5.396331761156317,16.912289,16.879524,16.997393,16.917,16.757,17.064,17.297,17.554,13835.19,7.417455,0.3766904,0.998702
000034.07-010820.0,685,52203,187,0.14196432,-1.1388814,18.26,17.82,18.03,18.21,18.44,12666.0,8.06,0.639,DA,results_convolution_2/spectra/spec-0685-52203-0187.fits,spec-0685-52203-0187.fits,0685-52202-02,685.0,52203.0,187.0,,17.97270100773543,0.0042434075309645,17.907003788742053,0.0035729541086261,18.44907914297223,0.0026808043139204,18.426017650598546,0.0049188044894605,18.10769442967915,0.0015176385800859,17.792465229216596,0.0030047079449124,18.61552814100805,0.0087167774547302,18.287215899289187,0.0147524881237605,17.846246887664186,0.0012502180419882,18.198911253522688,0.0075935577464044,18.41763030927604,0.0147984997119293,18.690702134941027,0.0117671401093521,0.4961441579444351,WDJ000034.07-010820.03 ,2449631676695853440,0.14207636749065983,-1.1389616749767357,5.6178520226509585,17.899881,17.906284,18.010254,18.202,17.809,18.02,18.231,18.516,13277.25,8.057769,0.6427799,0.998218
000051.85+272405.3,2824,54452,272,0.216036,27.40146,18.7,18.65,19.04,19.26,19.48,21176.0,7.92,0.585,DA,results_convolution_2/spectra/spec-2824-54452-0272.fits,spec-2824-54452-0272.fits,2824-54414-01,2824.0,54452.0,272.0,,18.679231732018785,0.0037535497565435,18.656585403658774,0.0031340981962419,19.293159174330263,0.0024531903190395,19.226415039978,0.004510724040866,18.99961053536608,0.0014491966047617,18.735264427615952,0.002795124332637,19.430490807635746,0.0075536248855634,18.834234665318213,0.0150385237357102,18.69368797864885,0.0011344784379438,18.784276883373373,0.0064233485594835,18.96621759514371,0.0121578494725789,19.488474527824344,0.0096350417199227,0.12207689923386689,WDJ000051.84+272405.33 ,2853970412021811712,0.21607233017872202,27.401470468065405,2.4769009691891375,18.835785,18.770231,19.005863,18.719,18.639,19.039,19.254,19.563,22425.29,8.05792,0.6620231,0.999592
