SDSS,Plate,MJD,Fiber,RA,Dec,umag,gmag,rmag,imag,zmag,Teff,logg,Mass,Type,spec_file,filename,object_name,plate,mjd,fiberid,z,J0410_mag,J0410_err,J0430_mag,J0430_err,iSDSS_mag,iSDSS_err,J0660_mag,J0660_err,rSDSS_mag,rSDSS_err,J0515_mag,J0515_err,zSDSS_mag,zSDSS_err,J0378_mag,J0378_err,gSDSS_mag,gSDSS_err,J0395_mag,J0395_err,uJAVA_mag,uJAVA_err,J0861_mag,J0861_err
000011.57-085008.4,650,52143,450,0.04819675,-8.8356594,19.46,19.11,19.06,19.13,19.34,10112.0,9.23,,DQ,results_convolution_2/spectra/spec-0650-52143-0450.fits,spec-0650-52143-0450.fits,0650-52142-01,650.0,52143.0,450.0,,19.0761322143074,,19.06246730490717,,19.08793703097414,,19.042445218458376,,19.032686881217,,19.065190103742275,,19.134898827300184,,19.182304798131405,,19.039505718386728,,19.08350296274016,,19.329445070639345,,19.208409920293143,
000120.42-052140.9,2630,54327,265,0.335103,-5.361357,20.96,20.53,20.33,20.41,20.42,8109.0,8.24,0.738,DA,results_convolution_2/spectra/spec-2630-54327-0265.fits,spec-2630-54327-0265.fits,2630-54327-01,2630.0,54327.0,265.0,,20.82597939575394,0.0205873819372291,20.76444036194531,0.0154382340810703,20.38128689064168,0.0063389981770025,20.487952134713247,0.0111107949910556,20.40354312236321,0.0041953307944736,20.540531325462176,0.0108750953375143,20.22282141907433,0.0167210083407563,21.17203495539227,0.1098395035343635,20.63790452480267,0.0049681462258133,20.955512879936343,0.0373514849664109,21.271915860031378,0.0841674003537304,20.343298021804976,0.0215772019612239
000123.27-111156.0,650,52143,130,0.34696064,-11.198876,19.08,18.51,18.3,18.25,18.27,6312.0,10.0,,DZ,results_convolution_2/spectra/spec-0650-52143-0130.fits,spec-0650-52143-0130.fits,0650-52142-01,650.0,52143.0,130.0,,18.606989410940564,,18.544383745821698,,18.34524856001432,,18.296422532198484,,18.293025597964736,,18.387866739010494,,18.395460728477936,,18.690892534441296,,18.451131232808287,,18.720860251561724,,18.82684784032049,,18.44338690866133,
000126.85+272000.1,2803,54368,211,0.361884,27.33337,17.72,17.41,17.41,17.59,17.69,10060.0,8.25,0.747,DA,results_convolution_2/spectra/spec-2803-54368-0211.fits,spec-2803-54368-0211.fits,2803-54335-01,2803.0,54368.0,211.0,,17.447745947371793,0.0033335809351178,17.423890953119745,0.0028310277946857,17.558414102898702,0.0010961045853602,17.65365535673339,0.0029011010105954,17.422431684808465,0.0008793672066867,17.289576441886418,0.0022980901379837,17.588465379543955,0.0025851338852307,17.629375885765988,0.0123278829272619,17.353135730128436,0.0009701181923003,17.607176353485492,0.0051387411799353,17.749984298985204,0.0114791681804253,17.652876474622765,0.0033880861237636
000135.06+244958.5,2822,54389,273,0.396102,24.832921,20.79,20.41,20.5,20.61,20.53,12759.0,8.26,0.758,DA,results_convolution_2/spectra/spec-2822-54389-0273.fits,spec-2822-54389-0273.fits,2822-54379-01,2822.0,54389.0,273.0,,20.60499393418423,0.0133037227675776,20.52196301821366,0.0102967561158439,20.83958200493461,0.0097895230550115,20.920594923790183,0.0155694817911365,20.60002198181065,0.0048819566525547,20.393187292914355,0.0080865665459493,20.97259744554376,0.0348090455346077,20.963052511336123,0.0734869234295433,20.4437319147791,0.0034754547029747,20.7550585225132,0.0250697837600778,21.027688372534747,0.052335129200994,20.993030142711014,0.0428131698672593
000223.06+272358.5,2803,54368,121,0.59609,27.399593,17.44,17.64,17.86,18.11,18.36,16755.0,7.96,,DB,results_convolution_2/spectra/spec-2803-54368-0121.fits,spec-2803-54368-0121.fits,2803-54335-01,2803.0,54368.0,121.0,,17.462086573744607,0.0034999669989731,17.425405388220035,0.0029336777227947,18.089050040041197,0.001577420112034,17.95563274108806,0.0034835322813685,17.830640197112736,0.0011983446428328,17.613859877015734,0.003061354042968,18.129556305592523,0.0038914757186453,17.55631467954621,0.0117420604707254,17.54209458729587,0.0011643708774816,17.409044021022957,0.004594387657756,17.6990891658861,0.0112190202585516,18.211401028045792,0.005124833463383
000223.06+272358.5,2824,54452,225,0.59609,27.399593,17.44,17.64,17.86,18.11,18.36,17149.0,8.16,0.683,DB,results_convolution_2/spectra/spec-2824-54452-0225.fits,spec-2824-54452-0225.fits,2824-54414-01,2824.0,54452.0,225.0,,17.58677665817462,0.0017681379462175,17.509588246204096,0.0015094439405129,18.04972514919215,0.0009362991166173,17.917365066422953,0.0018805931413619,17.81777337707026,0.0006286116379651,17.633246858834703,0.0014171257376601,18.16523310867135,0.0026170110333704,17.67253714610883,0.0056351659560258,17.60165389026104,0.000564097998145,17.56326650520301,0.0026881772275543,17.814422493456497,0.005079592590118,18.225948181215337,0.0033937765797224
000236.50+254143.3,2822,54389,371,0.652082,25.695361,20.39,20.24,20.53,20.97,20.68,18502.0,8.02,0.63,DA,results_convolution_2/spectra/spec-2822-54389-0371.fits,spec-2822-54389-0371.fits,2822-54379-01,2822.0,54389.0,371.0,,20.2779112256242,0.0096049159606277,20.25058864176281,0.008561737004037,20.884107575348303,0.010313936400797,20.77308127805734,0.0144070153500366,20.525621398142043,0.0048982251245244,20.260138675714977,0.0080030811575339,21.160467617468136,0.0387265494277144,20.50204632952785,0.0398802739989407,20.246217471216973,0.0031208910676148,20.409832084833543,0.0170921919869869,20.6135069243549,0.033159823460309,21.383447661298227,0.059005860155553
000250.65-045041.6,2630,54327,439,0.711038,-4.844894,19.85,19.73,19.46,18.57,17.9,6300.0,10.0,,DBM,results_convolution_2/spectra/spec-2630-54327-0439.fits,spec-2630-54327-0439.fits,2630-54327-01,2630.0,54327.0,439.0,,19.879764210974308,0.0085176293865241,19.81618257447945,0.0069949912281148,18.49687607338067,0.0013807595954549,19.23089793580088,0.0043979943421783,19.481800681975564,0.0020318632192593,19.765724828397147,0.0058485612003287,17.974314904848306,0.0023661139474638,19.918802371353912,0.0284471748201383,19.783262535986744,0.0024042903385061,19.829924997351878,0.0134781105671717,20.0414839994698,0.0292408801155146,18.10599365217022,0.0032226483198536
000253.81+161035.9,751,52251,326,0.72421432,16.176639,19.51,18.97,18.7,18.62,18.66,6593.0,7.65,0.434,DA,results_convolution_2/spectra/spec-0751-52251-0326.fits,spec-0751-52251-0326.fits,0751-52245-01,751.0,52251.0,326.0,,19.26984465557262,0.0090538007112176,19.188232105618688,0.0076324722717431,18.45582094888297,0.0025609516120701,18.60852948236694,0.0052058678624807,18.606344353401475,0.0022366687106186,18.843967819183625,0.0056229972795101,18.330427593560135,0.0061379232765927,19.40075065004884,0.0384605620976669,18.96751169031854,0.0023813698853324,19.356970524336425,0.0149339808170087,19.555602524115507,0.0285683159241142,18.413474776615978,0.0083137862293382
