catalog_source,object_id,ra,dec,plate,mjd,fiber,u_mag,g_mag,r_mag,i_mag,z_mag,teff,logg,mass,wd_type,gaia_source_id,parallax,bp_mag,rp_mag,obsid,uid,ra_obs,dec_obs,lmjd,planid,spid,fiberid,snr_u,snr_g,snr_r,snr_i,snr_z,spec_class,spec_subclass,wd_subclass,z,z_err,ps_id,ps_g_mag,ps_r_mag,ps_i_mag,ps_z_mag,ps_y_mag,gaia_g_mag,teff_err,logg_err,has_spectrum,spectrum_source,spectrum_identifier,spectrum_url
SDSS_DR7,000223.06+272358.5,0.59609,27.399593,2824.0,54452.0,225.0,17.44,17.64,17.86,18.11,18.36,17149.0,8.16,0.683,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,2824-54452-0225,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/2824/spec-2824-54452-0225.fits
SDSS_DR7,000357.62-004939.0,0.99009915,-0.8275131,686.0,52519.0,297.0,18.92,18.47,18.52,18.61,18.8,9564.0,8.78,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0686-52519-0297,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0686/spec-0686-52519-0297.fits
SDSS_DR7,000557.20+001833.3,1.4883209,0.30924276,685.0,52203.0,615.0,19.08,18.75,18.71,18.81,18.89,10118.0,9.36,,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0685-52203-0615,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0685/spec-0685-52203-0615.fits
SDSS_DR7,000557.20+001833.3,1.4883209,0.30924276,686.0,52519.0,440.0,19.08,18.75,18.71,18.81,18.89,10118.0,9.17,,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0686-52519-0440,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0686/spec-0686-52519-0440.fits
SDSS_DR7,001247.18+001048.7,3.1965877,0.18020309,687.0,52518.0,395.0,20.69,20.19,19.64,18.61,17.95,6300.0,10.0,,DAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0687-52518-0395,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0687/spec-0687-52518-0395.fits
SDSS_DR7,001253.93-010050.0,3.2247087,-1.0138765,687.0,52518.0,282.0,19.31,18.93,18.86,18.91,19.11,8729.0,8.06,0.631,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0687-52518-0282,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0687/spec-0687-52518-0282.fits
SDSS_DR7,001339.11+001924.9,3.412942,0.32358206,686.0,52519.0,630.0,0.0,0.0,0.0,0.0,0.0,9444.0,8.17,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0686-52519-0630,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0686/spec-0686-52519-0630.fits
SDSS_DR7,001339.11+001924.9,3.412942,0.32358206,687.0,52518.0,435.0,0.0,0.0,0.0,0.0,0.0,9415.0,8.12,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0687-52518-0435,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0687/spec-0687-52518-0435.fits
SDSS_DR7,001339.20+001924.3,3.4133338,0.32341956,1089.0,52913.0,480.0,15.77,15.37,15.43,15.49,15.67,9419.0,8.17,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1089-52913-0480,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1089/spec-1089-52913-0480.fits
SDSS_DR7,001448.84+002027.5,3.7034898,0.3409621,687.0,52518.0,468.0,19.33,18.91,18.92,18.95,19.06,8848.0,7.97,0.582,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0687-52518-0468,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0687/spec-0687-52518-0468.fits
SDSS_DR7,001726.64-002451.2,4.3609864,-0.41422315,687.0,52518.0,153.0,19.66,19.27,19.02,18.17,17.52,6301.0,5.06,,DAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0687-52518-0153,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0687/spec-0687-52518-0153.fits
SDSS_DR7,001749.25-000955.4,4.4551898,-0.16538753,687.0,52518.0,109.0,16.59,16.88,17.03,16.78,16.47,10108.0,8.23,,DAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0687-52518-0109,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0687/spec-0687-52518-0109.fits
SDSS_DR7,001849.44-001204.7,4.7059882,-0.2013081,1492.0,52932.0,235.0,18.53,18.38,18.45,18.6,18.86,10520.0,8.93,,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1492-52932-0235,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1492/spec-1492-52932-0235.fits
SDSS_DR7,002040.11+001106.6,5.1671168,0.18515676,390.0,51900.0,424.0,19.17,18.6,18.44,18.34,18.4,6975.0,7.86,0.519,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0390-51900-0424,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0390/spec-0390-51900-0424.fits
SDSS_DR7,002040.11+001106.6,5.1671168,0.18515676,687.0,52518.0,637.0,19.17,18.6,18.44,18.34,18.4,7024.0,7.89,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0687-52518-0637,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0687/spec-0687-52518-0637.fits
SDSS_DR7,002049.39+004435.1,5.2057727,0.74307731,390.0,51900.0,455.0,17.03,16.79,16.72,16.77,16.91,8862.0,8.62,0.979,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0390-51900-0455,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0390/spec-0390-51900-0455.fits
SDSS_DR7,002049.39+004435.1,5.2057727,0.74307731,687.0,52518.0,628.0,17.03,16.79,16.72,16.77,16.91,8807.0,8.61,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0687-52518-0628,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0687/spec-0687-52518-0628.fits
SDSS_DR7,002122.14+001730.0,5.3422652,0.29165627,688.0,52203.0,440.0,18.88,18.89,19.22,19.52,19.71,23024.0,7.86,0.562,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0688-52203-0440,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0688/spec-0688-52203-0440.fits
SDSS_DR7,002126.69-093714.2,5.36121,-9.620598,1913.0,53321.0,433.0,18.49,18.35,18.62,18.88,19.05,18489.0,7.91,0.574,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1913-53321-0433,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1913/spec-1913-53321-0433.fits
SDSS_DR7,002207.65-101423.6,5.531893,-10.239877,1913.0,53321.0,196.0,19.91,19.78,20.07,20.26,20.56,21493.0,7.4,0.415,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1913-53321-0196,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1913/spec-1913-53321-0196.fits
SDSS_DR7,002305.57-101939.6,5.773195,-10.327655,1913.0,53321.0,168.0,20.52,20.28,20.53,20.9,20.6,20282.0,7.92,0.583,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1913-53321-0168,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1913/spec-1913-53321-0168.fits
SDSS_DR7,002430.27-090854.9,6.126121,-9.148595,1912.0,53293.0,448.0,17.53,17.47,17.8,18.06,18.39,21603.0,7.95,0.601,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1912-53293-0448,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1912/spec-1912-53293-0448.fits
SDSS_DR7,002454.97-110743.2,6.2290519,-11.128669,653.0,52145.0,135.0,19.72,19.32,19.53,19.75,20.14,13523.0,8.26,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0653-52145-0135,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0653/spec-0653-52145-0135.fits
SDSS_DR7,002516.45-095238.6,6.318523,-9.877392,1913.0,53321.0,512.0,18.31,17.91,18.09,18.24,18.4,10995.0,8.41,0.849,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1913-53321-0512,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1913/spec-1913-53321-0512.fits
SDSS_DR7,002544.73-092739.2,6.436395,-9.460878,1913.0,53321.0,513.0,18.73,18.36,18.58,18.8,19.13,13030.0,7.93,0.571,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1913-53321-0513,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1913/spec-1913-53321-0513.fits
SDSS_DR7,002619.53-091110.8,6.581373,-9.186331,1913.0,53321.0,561.0,20.03,20.02,20.34,20.57,20.49,21079.0,7.8,0.53,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1913-53321-0561,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1913/spec-1913-53321-0561.fits
SDSS_DR7,002639.47-000630.5,6.6644504,-0.10848184,390.0,51900.0,623.0,0.0,0.0,0.0,0.0,0.0,48555.0,5.12,,DBZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0390-51900-0623,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0390/spec-0390-51900-0623.fits
SDSS_DR7,002645.52-002531.7,6.6896652,-0.42547237,689.0,52262.0,264.0,17.92,17.49,17.38,17.4,17.47,7925.0,7.88,0.532,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0689-52262-0264,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0689/spec-0689-52262-0264.fits
SDSS_DR7,003232.07+153126.6,8.1336109,15.524042,418.0,51884.0,346.0,20.15,19.77,19.95,20.14,20.18,12362.0,8.35,0.813,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0346,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0346.fits
SDSS_DR7,003243.07+142035.9,8.1794531,14.343315,418.0,51884.0,292.0,20.16,20.24,20.54,20.87,20.76,20064.0,7.89,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0292,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0292.fits
SDSS_DR7,003306.20+153627.5,8.2758258,15.607628,418.0,51884.0,343.0,20.07,20.22,20.61,20.87,21.31,31778.0,7.93,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0343,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0343.fits
SDSS_DR7,003339.08+152533.0,8.4128187,15.42584,418.0,51884.0,388.0,20.7,20.3,20.43,20.58,20.68,12323.0,7.85,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0388,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0388.fits
SDSS_DR7,003416.18-000849.9,8.567413,-0.14718242,689.0,52262.0,75.0,17.72,17.66,17.48,17.32,17.25,10080.0,9.89,,DAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0689-52262-0075,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0689/spec-0689-52262-0075.fits
SDSS_DR7,003416.18-000849.9,8.567413,-0.14718242,690.0,52261.0,273.0,17.72,17.66,17.48,17.32,17.25,10080.0,9.89,,DAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0690-52261-0273,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0690/spec-0690-52261-0273.fits
SDSS_DR7,003424.45+150152.6,8.6018676,15.031281,418.0,51884.0,393.0,20.52,20.0,20.04,20.13,20.3,10582.0,7.96,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0393,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0393.fits
SDSS_DR7,003426.93+151801.8,8.6122043,15.300492,418.0,51817.0,389.0,17.57,16.98,16.8,16.74,16.79,6796.0,7.81,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51817-0389,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51817-0389.fits
SDSS_DR7,003426.93+151801.8,8.6122043,15.300492,418.0,51884.0,399.0,17.57,16.98,16.8,16.74,16.79,6776.0,7.69,0.452,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0399,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0399.fits
SDSS_DR7,003445.36+152456.9,8.6889881,15.415792,418.0,51884.0,389.0,19.49,19.73,20.14,20.43,21.08,31188.0,7.96,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0389,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0389.fits
SDSS_DR7,003508.26+135045.3,8.7844305,13.845921,418.0,51884.0,242.0,16.42,16.37,16.84,17.11,17.41,12293.0,9.2,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0242,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0242.fits
SDSS_DR7,003511.65+001151.5,8.7985447,0.19763072,392.0,51793.0,439.0,0.0,0.0,0.0,0.0,0.0,9435.0,8.18,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0392-51793-0439,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0392/spec-0392-51793-0439.fits
SDSS_DR7,003511.65+001151.5,8.7985447,0.19763072,689.0,52262.0,638.0,0.0,0.0,0.0,0.0,0.0,9492.0,8.23,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0689-52262-0638,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0689/spec-0689-52262-0638.fits
SDSS_DR7,003511.65+001151.5,8.7985447,0.19763072,690.0,52261.0,396.0,0.0,0.0,0.0,0.0,0.0,9438.0,8.17,0.697,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0690-52261-0396,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0690/spec-0690-52261-0396.fits
SDSS_DR7,003512.25+135954.2,8.8010514,13.998399,418.0,51884.0,247.0,20.75,20.33,20.41,20.55,20.82,10535.0,9.16,1.226,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0247,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0247.fits
SDSS_DR7,003601.82+144834.9,9.0075651,14.809702,418.0,51884.0,221.0,19.56,19.44,19.69,19.95,20.29,22390.0,8.06,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0221,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0221.fits
SDSS_DR7,003628.07-003124.9,9.1169415,-0.52359152,690.0,52261.0,222.0,19.33,19.34,19.28,18.63,17.95,6307.0,5.21,,DAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0690-52261-0222,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0690/spec-0690-52261-0222.fits
SDSS_DR7,003658.36+150351.8,9.2431829,15.064398,418.0,51884.0,472.0,19.64,19.46,19.73,19.98,20.41,19711.0,7.68,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0472,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0472.fits
SDSS_DR7,003719.12+003139.3,9.32967,0.52757625,690.0,52261.0,422.0,17.86,17.48,17.54,17.64,17.85,10957.0,8.52,0.919,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0690-52261-0422,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0690/spec-0690-52261-0422.fits
SDSS_DR7,003725.34+152732.5,9.3555943,15.459035,418.0,51884.0,463.0,19.4,19.0,18.97,19.0,19.17,8696.0,8.1,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0463,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0463.fits
SDSS_DR7,003801.20+152837.9,9.5049835,15.477197,418.0,51884.0,490.0,17.52,17.54,17.9,18.19,18.56,22271.0,8.07,0.664,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0490,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0490.fits
SDSS_DR7,003853.17-002926.7,9.7215231,-0.49073922,1135.0,53018.0,65.0,19.01,18.61,18.55,18.62,18.58,8219.0,7.88,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1135-53018-0065,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1135/spec-1135-53018-0065.fits
SDSS_DR7,003853.17-002926.7,9.7215231,-0.49073922,1135.0,53024.0,65.0,19.01,18.61,18.55,18.62,18.58,8215.0,7.93,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1135-53024-0065,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1135/spec-1135-53024-0065.fits
SDSS_DR7,003854.23+155618.0,9.7259597,15.938338,418.0,51884.0,527.0,19.39,19.36,19.69,19.93,20.01,20388.0,8.31,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0527,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0527.fits
SDSS_DR7,003855.69+140412.2,9.7320547,14.070046,418.0,51884.0,84.0,19.88,19.82,20.04,20.15,20.38,15067.0,8.05,,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0084,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0084.fits
SDSS_DR7,003900.84+155009.0,9.7534869,15.835844,418.0,51884.0,526.0,18.94,18.64,18.87,19.06,19.27,14090.0,8.22,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0526,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0526.fits
SDSS_DR7,003948.97+144224.6,9.9540258,14.706841,419.0,51868.0,303.0,19.66,19.33,19.37,19.45,19.78,9417.0,8.39,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0419-51868-0303,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0419/spec-0419-51868-0303.fits
